"id","sex","grade","school","class_id","condition","status","respuesta_pregunta_1","tiempo_pregunta_1","respuesta_pregunta_2","tiempo_pregunta_2","respuesta_pregunta_3","tiempo_pregunta_3","respuesta_pregunta_4","tiempo_pregunta_4","respuesta_pregunta_5","tiempo_pregunta_5","respuesta_pregunta_6","tiempo_pregunta_6","respuesta_pregunta_7","tiempo_pregunta_7","respuesta_pregunta_8","tiempo_pregunta_8","respuesta_pregunta_9","tiempo_pregunta_9","respuesta_pregunta_10","tiempo_pregunta_10","respuesta_pregunta_11","tiempo_pregunta_11","respuesta_pregunta_12","tiempo_pregunta_12","respuesta_pregunta_13","tiempo_pregunta_13","respuesta_pregunta_14","tiempo_pregunta_14","respuesta_pregunta_15","tiempo_pregunta_15","respuesta_pregunta_16","tiempo_pregunta_16","respuesta_pregunta_17","tiempo_pregunta_17","respuesta_pregunta_18","tiempo_pregunta_18","respuesta_pregunta_19","tiempo_pregunta_19","respuesta_pregunta_20","tiempo_pregunta_20","respuesta_pregunta_21","tiempo_pregunta_21","respuesta_pregunta_22","tiempo_pregunta_22","respuesta_pregunta_23","tiempo_pregunta_23","respuesta_pregunta_24","tiempo_pregunta_24","dccs_tv_score","dccs_mean_acc","dccs_mean_rt"
"ctl2k10","M","kinder","school5","school5_kinder","control_2","participant",1,4293,1,3829,1,3729,1,2839,1,2891,1,1627,1,1729,1,2893,1,2938,1,2922,1,2019,1,2853,1,1937,1,2938,0,2394,0,2039,0,2938,1,2984,0,2039,1,5392,1,4932,1,2923,0,2103,0,1538,3.75,0.75,3092.66666666667
"ctl2k11","M","kinder","school5","school5_kinder","control_2","participant",1,5460,1,6837,1,15287,1,15221,1,13602,1,20456,1,5421,1,2777,1,4453,1,12294,1,6961,1,4332,1,13738,1,6214,0,294,1,3034,1,1656,1,3573,1,13566,0,11046,1,2100,1,9181,1,871,1,5170,4.58333333333333,0.916666666666667,4536
"ctl2k12","F","kinder","school5","school5_kinder","control_2","participant",1,3869,1,2977,1,1613,1,1799,1,1381,1,3717,1,2840,1,8922,1,2792,1,2179,1,1708,1,1892,1,7171,1,2032,1,1647,1,1581,1,1613,1,1877,1,1775,1,2105,1,1629,1,1343,1,2123,1,1921,6.26507825447113,1,2604.41666666667
"ctl2k13","F","kinder","school5","school5_kinder","control_2","drop-out",1,4032,1,3948,1,5332,1,3048,1,4922,1,3998,1,2348,1,3842,1,4392,1,3972,1,3871,1,3719,1,3121,1,2833,1,3942,1,2943,1,2647,1,1432,0,2321,0,2347,1,4392,1,5196,1,4914,0,2012,4.375,0.875,3754.47619047619
"ctl2k14","F","kinder","school5","school5_kinder","control_2","participant",1,2599,1,3260,1,2078,1,1448,1,1590,1,2313,1,1953,1,2252,1,2793,1,1630,1,1990,1,6228,1,2249,1,1676,1,2278,1,1797,1,1952,1,1829,1,3803,1,1217,1,2027,1,1687,1,1764,1,1819,6.17152335886199,1,2259.66666666667
"ctl2k15","M","kinder","school5","school5_kinder","control_2","participant",1,2190,1,1755,0,1113,1,575,1,1125,1,1461,1,1365,1,1188,1,1476,1,751,1,1510,1,856,1,2739,1,1308,1,950,1,1150,1,898,1,1088,1,910,0,1052,1,8,1,1096,1,1218,1,1371,7.1683373018815,0.916666666666667,1284.7619047619
"dig501","M","fifth","school2","school2_fifth","digital","participant",1,1166,1,1164,1,909,1,817,1,1195,1,2035,1,863,1,1082,1,1202,1,2542,1,1026,1,765,1,1199,1,1101,1,927,1,767,1,645,1,680,1,868,1,690,1,732,1,918,1,735,1,564,8.31820261662822,1,1024.66666666667
"dig502","M","fifth","school2","school2_fifth","digital","drop-out",1,2442,1,3092,1,2155,1,2377,1,1098,1,1048,1,1057,1,999,1,4331,1,1278,1,1099,1,1115,1,4528,1,1982,1,1524,1,1405,1,1452,1,1237,1,1264,1,1155,1,1843,1,1215,1,1357,1,1036,7.2962800012137,1,1753.70833333333
"dig503","F","fifth","school2","school2_fifth","digital","participant",1,3208,1,1953,1,2484,1,2493,1,1568,1,1576,1,1905,1,1324,1,2308,1,2796,1,2195,1,1806,1,1697,1,1349,1,1844,1,2957,1,2887,1,2222,1,1727,1,2315,1,2421,1,2478,1,1280,1,2470,5.85474289901654,1,2135.95833333333
"dig504","M","fifth","school2","school2_fifth","digital","participant",1,4714,1,5015,1,3009,1,1036,1,810,1,3261,1,2253,1,1747,1,1089,1,1682,1,1105,1,1214,1,2721,1,1637,1,2122,1,1062,1,2288,1,955,1,787,1,909,1,885,1,695,1,798,1,771,7.65276513751095,1,1773.54166666667
