"id","sex","grade","school","ed_level","attendence","condition2","cond_grade2","time","corsi","hnf","dccs","woodcock","tejas","time_lab","ed_level_c"
"mix505","F","fifth","school3",2,22,"mixed","mixed_fifth",0,5,7.85152601663405,7.73209956588726,72,66,"pre",1
"mix505","F","fifth","school3",2,22,"mixed","mixed_fifth",1,12,7.9124993565442,8.72176604590604,70,71,"post",1
"mix507","M","fifth","school3",1,22,"mixed","mixed_fifth",0,4,7.70095375909267,3.75,62,44,"pre",0
"mix507","M","fifth","school3",1,22,"mixed","mixed_fifth",1,6,7.71085658224115,7.17726059941095,59,46,"post",0
"mix508","F","fifth","school3",1,17,"mixed","mixed_fifth",0,4,5.81159187009745,3.75,68,54,"pre",0
"mix508","F","fifth","school3",1,17,"mixed","mixed_fifth",1,5,6.87963154248462,8.60594449180585,67,70,"post",0
"mix509","F","fifth","school3",2,18,"mixed","mixed_fifth",0,6,7.8169019505064,6.86082418900195,66,63,"pre",1
"mix509","F","fifth","school3",2,18,"mixed","mixed_fifth",1,7,7.69614631563357,8.38623054932102,66,63,"post",1
"mix510","M","fifth","school3",2,23,"mixed","mixed_fifth",0,6,7.7755968163502,6.58663162032366,63,64,"pre",1
"mix510","M","fifth","school3",2,23,"mixed","mixed_fifth",1,6,8.10337094623834,7.93688906507833,69,69,"post",1
"mix511","M","fifth","school3",1,16,"mixed","mixed_fifth",0,7,7.90231703143862,7.15584518071517,43,65,"pre",0
"mix511","M","fifth","school3",1,16,"mixed","mixed_fifth",1,14,8.02338496118325,8.01047568018913,66,66,"post",0
"mix513","M","fifth","school3",2,21,"mixed","mixed_fifth",0,10,8.5710579327724,8.65548729343935,72,70,"pre",1
"mix513","M","fifth","school3",2,21,"mixed","mixed_fifth",1,19,8.32544026813594,9.40197161971932,67,71,"post",1
"mix514","M","fifth","school3",1,23,"mixed","mixed_fifth",0,4,5.81159187009745,5.89188443558775,59,62,"pre",0
"mix514","M","fifth","school3",1,23,"mixed","mixed_fifth",1,16,8.82091307025289,7.56366758272317,70,69,"post",0
"mix515","F","fifth","school3",1,23,"mixed","mixed_fifth",0,7,6.17207756750279,7.12778911396865,65,67,"pre",0
