"id","sex","grade","school","class_id","condition","eval_pre","eval_post","status","age_mths","ed_level","esp_fl","foreign_born","activity","name","time","attendence"
"mix510","M","fifth","school3","school3_fifth","mixed","evaluated","evaluated","participant",134.2,"2","F","F","F","NA",NA,23
"mix511","M","fifth","school3","school3_fifth","mixed","evaluated","evaluated","participant",138.8,"1","F","F","F","NA",NA,16
"mix512","M","fifth","school3","school3_fifth","mixed",NA,NA,"rejected",NA,NA,NA,NA,NA,NA,NA,NA
"mix513","M","fifth","school3","school3_fifth","mixed","evaluated","evaluated","participant",128.3,"2","F","T","F","NA",NA,21
"mix514","M","fifth","school3","school3_fifth","mixed","evaluated","evaluated","participant",130.466666666667,"1","F","F","T","sports",60,23
"mix515","F","fifth","school3","school3_fifth","mixed","evaluated","evaluated","participant",132.8,"1","F","F","F","NA",NA,23
"mix516","F","fifth","school3","school3_fifth","mixed","evaluated","evaluated","participant",132.2,"3","F","F","T","dance",90,23
"mix517","M","fifth","school3","school3_fifth","mixed","evaluated","evaluated","participant",138.2,"3","F","F","T","sports",60,24
"mix518","M","fifth","school3","school3_fifth","mixed","evaluated","evaluated","participant",128.466666666667,"2","F","F","T","OT",135,20
"mix519","M","fifth","school3","school3_fifth","mixed",NA,NA,"rejected",NA,NA,NA,NA,NA,NA,NA,NA
"mix520","F","fifth","school3","school3_fifth","mixed","evaluated","evaluated","participant",130.6,"1","F","F","F","NA",NA,17
"mix521","F","fifth","school3","school3_fifth","mixed","evaluated","evaluated","participant",133.333333333333,"4","F","T","F","NA",NA,22
"mix522","F","fifth","school3","school3_fifth","mixed","evaluated","evaluated","participant",146.266666666667,"1","F","F","F","NA",NA,22
"mixk01","F","kinder","school3","school3_kinder","mixed","evaluated","evaluated","participant",78.2666666666667,"1","F","F","F","NA",NA,20
"mixk02","F","kinder","school3","school3_kinder","mixed","evaluated","evaluated","participant",72.3666666666667,"2","F","F","F","NA",NA,20
"mixk03","F","kinder","school3","school3_kinder","mixed","evaluated","evaluated","participant",72.3333333333333,"1","F","F","F","NA",NA,24
"mixk04","M","kinder","school3","school3_kinder","mixed","evaluated","evaluated","participant",71.8,"1","F","F","F","NA",NA,20
"mixk05","M","kinder","school3","school3_kinder","mixed","evaluated","evaluated","participant",79.5333333333333,"2","F","T","F","NA",NA,14
"mixk06","F","kinder","school3","school3_kinder","mixed","evaluated","evaluated","participant",70.5666666666667,"1","F","F","F","NA",NA,15
"mixk07","M","kinder","school3","school3_kinder","mixed","evaluated","evaluated","participant",73.3666666666667,"2","F","F","F","NA",NA,22
"mixk08","M","kinder","school3","school3_kinder","mixed","evaluated","evaluated","participant",78.6333333333333,"2","F","T","T","sports",120,18
"mixk09","F","kinder","school3","school3_kinder","mixed",NA,NA,"rejected",NA,NA,NA,NA,NA,NA,NA,NA
"mixk10","M","kinder","school3","school3_kinder","mixed","evaluated","evaluated","participant",72.7333333333333,"1","F","F","F","NA",NA,19
"mixk11","M","kinder","school3","school3_kinder","mixed","evaluated","evaluated","participant",72.5666666666667,"1","F","F","F","NA",NA,18
"mixk12","M","kinder","school3","school3_kinder","mixed","evaluated","evaluated","participant",67.5666666666667,"2","F","T","F","NA",NA,23
"mixk13","F","kinder","school3","school3_kinder","mixed","evaluated","evaluated","participant",78.8666666666667,"3","F","F","F","NA",NA,23
"mixk14","M","kinder","school3","school3_kinder","mixed","evaluated","evaluated","participant",72.2666666666667,"3","F","F","F","NA",NA,23
"mixk15","F","kinder","school3","school3_kinder","mixed","evaluated","evaluated","participant",70.4666666666667,"2","F","F","F","NA",NA,20
"mixk16","F","kinder","school3","school3_kinder","mixed","evaluated","evaluated","participant",75.7333333333333,"1","F","F","F","NA",NA,23
"mixk17","M","kinder","school3","school3_kinder","mixed","evaluated","evaluated","atypical",69.3,"2","T","F","T","sports",60,21
"mixk18","M","kinder","school3","school3_kinder","mixed","evaluated","evaluated","atypical",69.3,"2","T","F","T","sports",60,23
"mixk19","F","kinder","school3","school3_kinder","mixed","evaluated","evaluated","participant",71.3,"4","F","F","F","NA",NA,22
"mixk20","M","kinder","school3","school3_kinder","mixed","evaluated","evaluated","atypical",70.8666666666667,"1","T","T","T","sports",60,14
"mixk21","F","kinder","school3","school3_kinder","mixed","evaluated","evaluated","participant",71.1,"1","F","F","F","NA",NA,6
"mixk22","M","kinder","school3","school3_kinder","mixed","evaluated","evaluated","participant",68.6333333333333,"4","F","F","F","NA",NA,17
"mixk23","F","kinder","school3","school3_kinder","mixed","evaluated","evaluated","participant",73.1666666666667,"3","F","F","F","NA",NA,19
"mixk24","F","kinder","school3","school3_kinder","mixed","evaluated","evaluated","participant",73.2333333333333,"1","F","F","F","NA",NA,22
"mixk25","F","kinder","school3","school3_kinder","mixed","evaluated","evaluated","participant",68.3666666666667,"2","F","F","F","NA",NA,22
"mixk26","F","kinder","school3","school3_kinder","mixed","evaluated","evaluated","participant",77.4666666666667,"1","F","F","F","NA",NA,23
"mixk27","F","kinder","school3","school3_kinder","mixed","evaluated","evaluated","participant",68.9666666666667,"1","F","F","F","NA",NA,16
"mixk28","M","kinder","school3","school3_kinder","mixed","evaluated","evaluated","participant",70.2666666666667,"3","F","F","F","NA",NA,20
"ppr501","F","fifth","school1","school1_fifth","paper","evaluated","evaluated","participant",136.133333333333,"3","F","F","T","scouts",60,22
"ppr502","F","fifth","school1","school1_fifth","paper",NA,NA,"rejected",NA,NA,NA,NA,NA,NA,NA,19
"ppr503","M","fifth","school1","school1_fifth","paper","evaluated","evaluated","participant",128.366666666667,"3","F","F","T","sports",60,17
"ppr504","F","fifth","school1","school1_fifth","paper","evaluated","evaluated","participant",133.2,"2","F","F","F","NA",NA,23
"ppr505","F","fifth","school1","school1_fifth","paper","evaluated","evaluated","participant",131.433333333333,"3","F","F","F","NA",NA,23
"ppr506","F","fifth","school1","school1_fifth","paper","evaluated","evaluated","participant",137.266666666667,"3","F","F","T","dance",60,24
"ppr507","M","fifth","school1","school1_fifth","paper","evaluated","evaluated","participant",133.966666666667,"1","F","F","F","NA",NA,17
"ppr508","F","fifth","school1","school1_fifth","paper","evaluated","evaluated","participant",136.5,"3","F","F","F","NA",NA,21
"ppr509","F","fifth","school1","school1_fifth","paper","evaluated","evaluated","participant",130.9,"4","F","F","F","NA",NA,22
"ppr510","M","fifth","school1","school1_fifth","paper","evaluated","evaluated","participant",130.5,"3","F","F","T","sports",120,20
"ppr511","M","fifth","school1","school1_fifth","paper","evaluated","evaluated","participant",139.9,"3","F","F","F","NA",NA,23
"ppr512","M","fifth","school1","school1_fifth","paper",NA,NA,"rejected",NA,NA,NA,NA,NA,NA,NA,NA
"ppr513","F","fifth","school1","school1_fifth","paper","evaluated","evaluated","participant",134.566666666667,"3","F","F","F","NA",NA,23
"ppr514","M","fifth","school1","school1_fifth","paper","evaluated","evaluated","participant",138.766666666667,"3","F","F","F","NA",NA,17
"ppr515","M","fifth","school1","school1_fifth","paper","evaluated","evaluated","participant",135.066666666667,"2","F","F","T","sports",180,21
"ppr516","F","fifth","school1","school1_fifth","paper",NA,NA,"rejected",NA,NA,NA,NA,NA,NA,NA,NA
"ppr517","M","fifth","school1","school1_fifth","paper","evaluated","evaluated","participant",136,"3","F","F","T","sports",180,24
"ppr518","M","fifth","school1","school1_fifth","paper","evaluated","evaluated","participant",128.9,"2","F","F","F","NA",NA,14
"ppr519","F","fifth","school1","school1_fifth","paper","evaluated","evaluated","participant",127.1,"2","F","F","F","NA",NA,23
"ppr520","F","fifth","school1","school1_fifth","paper","evaluated","evaluated","participant",129.566666666667,"2","F","F","F","NA",NA,23
"ppr521","M","fifth","school1","school1_fifth","paper","evaluated","evaluated","participant",130.766666666667,"3","F","F","F","NA",NA,20
"ppr522","M","fifth","school1","school1_fifth","paper","evaluated","evaluated","participant",129.733333333333,"3","F","F","F","NA",NA,20
"ppr523","M","fifth","school1","school1_fifth","paper","evaluated","evaluated","participant",138.8,"3","F","F","T","sports",120,20
"ppr524","M","fifth","school1","school1_fifth","paper","evaluated","evaluated","participant",137.133333333333,"2","F","F","T","sports",120,23
"ppr525","F","fifth","school1","school1_fifth","paper","evaluated","evaluated","participant",129,"2","F","F","T","church",60,22
"ppr526","M","fifth","school1","school1_fifth","paper","evaluated","evaluated","participant",131.9,"3","F","F","F","NA",NA,21
"ppr527","M","fifth","school1","school1_fifth","paper","evaluated","evaluated","participant",132.3,"4","F","F","F","NA",NA,23
"ppr528","F","fifth","school1","school1_fifth","paper",NA,NA,"rejected",NA,NA,NA,NA,NA,NA,NA,NA
"ppr529","F","fifth","school1","school1_fifth","paper",NA,NA,"rejected",NA,NA,NA,NA,NA,NA,NA,NA
"ppr530","F","fifth","school1","school1_fifth","paper","evaluated","evaluated","participant",132.133333333333,"4","F","F","T","church",60,22
"ppr531","M","fifth","school1","school1_fifth","paper","evaluated","evaluated","participant",132.133333333333,"4","F","F","T","church",60,24
"ppr532","F","fifth","school1","school1_fifth","paper","evaluated","evaluated","participant",131.266666666667,"3","F","F","F","NA",NA,23
"ppr533","M","fifth","school1","school1_fifth","paper","evaluated","evaluated","participant",135.166666666667,"4","F","F","F","NA",NA,19
"ppr534","F","fifth","school1","school1_fifth","paper",NA,NA,"rejected",NA,NA,NA,NA,NA,NA,NA,NA
"ppr535","M","fifth","school1","school1_fifth","paper","evaluated","evaluated","participant",128.466666666667,"3","F","F","T","church",60,21
"ppr536","M","fifth","school1","school1_fifth","paper","evaluated","evaluated","participant",138.833333333333,"2","F","F","F","NA",NA,22
"ppr537","F","fifth","school1","school1_fifth","paper",NA,NA,"rejected",NA,NA,NA,NA,NA,NA,NA,NA
"ppr538","F","fifth","school1","school1_fifth","paper",NA,NA,"rejected",NA,NA,NA,NA,NA,NA,NA,NA
"pprk01","M","kinder","school1","school1_kinder","paper","evaluated","evaluated","atypical",75.9,"2","F","F","T","ST",120,10
"pprk02","F","kinder","school1","school1_kinder","paper","evaluated","evaluated","participant",77.1,"4","F","F","F","NA",NA,20
"pprk03","F","kinder","school1","school1_kinder","paper","evaluated","evaluated","participant",73.2,"3","F","F","F","NA",NA,19
"pprk04","M","kinder","school1","school1_kinder","paper","evaluated","evaluated","participant",78.3,"4","F","F","F","NA",NA,24
"pprk05","M","kinder","school1","school1_kinder","paper","evaluated","evaluated","participant",69.6333333333333,"2","F","F","F","NA",NA,24
"pprk06","F","kinder","school1","school1_kinder","paper","evaluated","evaluated","participant",77.3666666666667,"4","F","F","F","NA",NA,21
"pprk07","M","kinder","school1","school1_kinder","paper","evaluated","evaluated","participant",78.7666666666667,"3","F","F","F","NA",NA,23
"pprk08","F","kinder","school1","school1_kinder","paper","evaluated","evaluated","participant",79.5,"2","F","F","F","NA",NA,22
"pprk09","M","kinder","school1","school1_kinder","paper","evaluated","evaluated","participant",72.5,"3","F","F","F","NA",NA,21
"pprk10","M","kinder","school1","school1_kinder","paper",NA,NA,"rejected",NA,NA,NA,NA,NA,NA,NA,NA
"pprk11","F","kinder","school1","school1_kinder","paper",NA,NA,"rejected",NA,NA,NA,NA,NA,NA,NA,NA
"pprk12","M","kinder","school1","school1_kinder","paper","evaluated","evaluated","participant",73.4333333333333,"2","F","F","F","NA",NA,19
"pprk13","M","kinder","school1","school1_kinder","paper","evaluated","evaluated","participant",79.4,"3","F","F","F","NA",NA,16
"pprk14","M","kinder","school1","school1_kinder","paper","evaluated","evaluated","participant",73.4,"2","F","F","F","NA",NA,23
"pprk15","M","kinder","school1","school1_kinder","paper","evaluated","evaluated","participant",68.4666666666667,"3","F","F","F","NA",NA,19
"pprk16","F","kinder","school1","school1_kinder","paper","evaluated","evaluated","participant",70,"4","F","F","F","NA",NA,20
"pprk17","F","kinder","school1","school1_kinder","paper","evaluated","evaluated","participant",73.9333333333333,"2","F","F","T","dance",60,19
"pprk18","F","kinder","school1","school1_kinder","paper","evaluated","evaluated","participant",79.7333333333333,"2","F","F","F","NA",NA,23
"pprk19","F","kinder","school1","school1_kinder","paper","evaluated","evaluated","participant",75.5666666666667,"1","F","F","F","NA",NA,14
