"id","sex","grade","school","class_id","condition","status","respuesta_pregunta_1","tiempo_pregunta_1","respuesta_pregunta_2","tiempo_pregunta_2","respuesta_pregunta_3","tiempo_pregunta_3","respuesta_pregunta_4","tiempo_pregunta_4","respuesta_pregunta_5","tiempo_pregunta_5","respuesta_pregunta_6","tiempo_pregunta_6","respuesta_pregunta_7","tiempo_pregunta_7","respuesta_pregunta_8","tiempo_pregunta_8","respuesta_pregunta_9","tiempo_pregunta_9","respuesta_pregunta_10","tiempo_pregunta_10","respuesta_pregunta_11","tiempo_pregunta_11","respuesta_pregunta_12","tiempo_pregunta_12","respuesta_pregunta_13","tiempo_pregunta_13","respuesta_pregunta_14","tiempo_pregunta_14","respuesta_pregunta_15","tiempo_pregunta_15","respuesta_pregunta_16","tiempo_pregunta_16","respuesta_pregunta_17","tiempo_pregunta_17","respuesta_pregunta_18","tiempo_pregunta_18","respuesta_pregunta_19","tiempo_pregunta_19","respuesta_pregunta_20","tiempo_pregunta_20","respuesta_pregunta_21","tiempo_pregunta_21","respuesta_pregunta_22","tiempo_pregunta_22","respuesta_pregunta_23","tiempo_pregunta_23","respuesta_pregunta_24","tiempo_pregunta_24","dccs_tv_score","dccs_mean_acc","dccs_mean_rt"
"ctl2k03","F","kinder","school5","school5_kinder","control_2","participant",1,5340,1,2165,0,3174,1,1913,1,2242,1,1291,1,2237,1,1393,1,907,1,1739,1,1322,1,1219,1,3017,1,1780,1,1489,1,2785,1,2393,1,3076,1,1611,1,3801,1,1951,1,1272,1,3250,1,3463,5.99235859662898,0.958333333333333,2245.91304347826
"ctl2k04","M","kinder","school5","school5_kinder","control_2","participant",1,1708,1,1657,1,985,1,1114,1,1439,1,1443,1,2225,1,1341,1,4340,1,682,0,4306,1,2173,0,4549,0,825,1,1397,1,3261,1,2473,1,2796,1,1991,1,2426,1,1536,1,1109,1,1972,0,1168,5.78053146287318,0.833333333333333,1903.4
"ctl2k05","M","kinder","school5","school5_kinder","control_2","participant",1,3277,1,1611,1,1615,1,1955,1,2530,1,1789,1,1136,1,1008,1,1118,1,768,1,1637,0,2907,1,2392,1,1033,1,963,1,1711,1,3679,1,1253,1,926,1,681,1,1182,1,2912,1,858,1,3347,6.52671312561225,0.958333333333333,1712.21739130435
"ctl2k06","F","kinder","school5","school5_kinder","control_2","participant",1,1246,1,1237,1,749,1,1012,1,788,1,1058,1,1765,1,1117,1,1293,1,1073,1,1004,1,2847,1,2010,0,792,1,1971,1,1369,1,2369,1,1552,1,1587,1,1527,0,990,1,2866,1,977,1,1586,6.85116493465107,0.916666666666667,1500.13636363636
"ctl2k07","M","kinder","school5","school5_kinder","control_2","participant",1,5656,1,2221,1,2152,1,4052,1,4957,1,6045,1,1706,1,1428,1,1744,0,1475,1,1390,1,3018,1,3683,1,4585,1,6668,1,2522,1,2929,1,2651,1,7001,1,3135,1,1967,1,2421,1,2768,1,2945,4.85850382096627,0.958333333333333,3375.82608695652
"ctl2k08","F","kinder","school5","school5_kinder","control_2","participant",0,440,0,596,1,2702,1,3252,1,3276,1,2243,1,1469,1,1816,1,1186,1,938,1,2918,1,2692,1,853,0,2038,1,797,0,2497,1,779,0,1348,0,2467,1,4386,1,2362,1,3090,1,2208,1,2536,3.75,0.75,2194.61111111111
"ctl2k09","F","kinder","school5","school5_kinder","control_2","participant",1,2898,1,2219,1,1390,1,2159,1,1797,1,1519,1,1178,1,1177,1,1741,1,942,0,841,1,1779,1,2187,1,1213,0,1368,1,1747,1,1704,1,1241,1,1406,1,2094,1,2730,1,1580,1,1954,1,2127,6.09701575694296,0.916666666666667,1762.81818181818
"ctl2k10","M","kinder","school5","school5_kinder","control_2","participant",1,3743,1,2715,1,3647,1,2682,0,2824,1,3495,1,2134,1,2128,1,1809,1,2175,1,1959,1,2377,1,2781,1,1740,1,1831,0,2190,1,3785,1,1690,1,1532,0,4317,1,6804,1,2394,1,3576,1,1810,5.02456570423579,0.875,2705.09523809524
"ctl2k11","M","kinder","school5","school5_kinder","control_2","participant",1,5766,1,2840,1,2050,1,5882,1,4986,1,3365,1,2557,0,3574,1,1512,1,1977,1,3408,0,1455,1,2697,1,1878,1,1381,1,1009,1,3393,0,260,1,3056,1,615,1,3579,1,883,0,2141,0,706,3.95833333333333,0.791666666666667,2780.73684210526
"ctl2k12","F","kinder","school5","school5_kinder","control_2","participant",1,4495,1,3230,1,4081,1,3180,1,1816,0,1574,1,3827,1,2242,1,2027,1,2533,1,1333,1,1263,1,2420,1,2006,1,1776,1,1781,1,1478,1,1595,1,1253,1,2611,1,2900,1,2081,1,4820,1,2272,5.60439842285384,0.958333333333333,2479.13043478261
"ctl2k13","F","kinder","school5","school5_kinder","control_2","drop-out",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ctl2k14","F","kinder","school5","school5_kinder","control_2","participant",1,11663,1,2669,1,4493,1,3740,1,1148,1,870,1,2363,1,1776,1,1489,1,1313,1,1453,1,6397,1,3241,1,1194,1,1729,1,1738,1,1408,1,1263,1,1055,1,1892,1,1778,1,1336,1,1903,1,1288,6.53778755304799,1,2066.78260869565
"ctl2k15","M","kinder","school5","school5_kinder","control_2","participant",1,2515,1,2001,1,1662,1,1107,1,4528,1,1030,1,932,1,2177,1,2401,1,1545,1,853,1,816,1,4019,1,799,1,1235,1,1060,1,742,1,908,1,798,1,800,1,300,1,804,1,880,1,1055,7.94958846912827,1,1456.95833333333
"dig501","M","fifth","school2","school2_fifth","digital","participant",1,818,1,1516,1,945,1,1203,1,1041,1,1184,1,1138,1,1738,1,1270,1,926,1,1040,1,1380,1,1855,1,915,1,993,1,670,1,925,1,1294,1,946,1,985,1,827,1,935,1,874,1,679,8.09660212513239,1,1087.375
"dig502","M","fifth","school2","school2_fifth","digital","drop-out",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dig503","F","fifth","school2","school2_fifth","digital","participant",1,2559,1,937,1,899,1,1670,1,1319,1,4247,1,1030,1,1192,1,1459,1,1125,1,1396,1,4352,1,1584,1,3334,1,882,1,1111,1,1329,1,1330,1,1664,1,1654,1,1911,1,2382,1,905,1,1946,7.07250928172869,1,1759.04166666667
"dig504","M","fifth","school2","school2_fifth","digital","participant",1,4306,1,1303,1,1046,1,739,1,750,1,965,1,1613,1,1614,1,1175,1,824,1,964,1,953,1,2917,1,1345,1,807,1,1827,0,1474,1,1874,1,1998,1,2145,1,1749,1,3040,1,1815,1,1582,6.57740417862843,0.958333333333333,1623.95652173913
"dig505","M","fifth","school2","school2_fifth","digital","participant",1,1192,1,1172,1,587,1,839,1,831,1,690,1,1151,1,1145,1,1087,1,879,1,756,1,1053,1,1328,1,1277,1,2085,1,1353,1,1239,1,2670,1,1297,1,1463,1,948,1,981,1,1387,1,1441,7.64795591075793,1,1202.125
"dig506","F","fifth","school2","school2_fifth","digital","participant",1,2579,1,1301,1,700,1,2122,1,1377,1,1047,1,1029,1,880,1,974,1,858,1,969,1,992,1,1302,1,852,1,1289,1,1040,1,1239,1,1070,1,1249,1,1165,1,1118,1,1062,1,1672,1,1872,7.81503070583165,1,1239.91666666667
